sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon,po_code
744,PO_744,Vanasthalipuram -500070,500070,postoffice,7,17.33264,78.57438,165903
745,PO_745,Mallareddypally -508248,508248,postoffice,7,16.77047,78.831,254916
746,PO_746,Vankamamidi -508284,508284,postoffice,7,17.35703,78.88361,208004
747,PO_747,Varaturu -508286,508286,postoffice,7,17.55184,79.0808,187895
748,PO_748,Veeravalli -508286,508286,postoffice,7,17.48594,79.00811,187869
749,PO_749,Velmazala -508101,508101,postoffice,7,17.57509,79.20963,178954
750,PO_750,Velwarthy,,postoffice,7,17.40255,79.05031,180951
751,PO_751,Marchala.So -509320,509320,postoffice,7,16.69582,78.45592,169477
752,PO_752,Medipur -509209,509209,postoffice,7,16.5641,78.4278,300022
753,PO_753,Wangapalli -508286,508286,postoffice,7,17.57475,78.98503,180614
754,PO_754,Yadagirigutta -508115,508115,postoffice,7,17.58956,78.94425,198791
755,PO_755,Mudigonda Bo -508248,508248,postoffice,7,16.73867,78.86108,252931
756,PO_756,Yadagiripalli -508115,508115,postoffice,7,17.58736,78.94855,198792
757,PO_757,Mukurala -509324,509324,postoffice,7,16.57393,78.5175,184318
758,PO_758,Yellamala -506201,506201,postoffice,7,17.70017,79.11417,168763
759,PO_759,Yeshwanthapur -506175,506175,postoffice,7,17.72838,79.1958,164976
760,PO_760,Akkenapalli,,postoffice,7,17.29645,79.24023,202124
761,PO_761,Nasarlapally B.O 508250 -508250,508250,postoffice,7,16.80305,78.85838,298881
762,PO_762,Padmatpally Bo -508248,508248,postoffice,7,16.69501,78.80209,260657
763,PO_763,Panjugula -509324,509324,postoffice,7,16.62293,78.46503,183515
764,PO_764,Pasnoor B.O -508373,508373,postoffice,7,16.82925,78.9319,293983
765,PO_765,Pole Pally A/w Veldanda So -509360,509360,postoffice,7,16.80724,78.60775,242139
766,PO_766,Bogaram -508113,508113,postoffice,7,17.30397,79.07453,177046
767,PO_767,Rachoor Bo,,postoffice,7,16.73701,78.47532,254146
768,PO_768,Raghupathipet Bo,,postoffice,7,16.51162,78.48384,192853
769,PO_769,Rahamanthapur Bo -508258,508258,postoffice,7,16.64785,78.74995,265009
770,PO_770,Rangapur -509349,509349,postoffice,7,16.55678,78.53897,184290
771,PO_771,Chithapur -508112,508112,postoffice,7,17.37753,79.15395,180472
772,PO_772,Rangapur -509324,509324,postoffice,7,16.55678,78.53897,184288
773,PO_773,Sarvareddypally,,postoffice,7,16.67165,78.49375,196183
774,PO_774,Seripalli Bo -508248,508248,postoffice,7,16.74987,78.90183,252893
775,PO_775,Dattappagudem -508277,508277,postoffice,7,17.38839,79.22892,196353
776,PO_776,Sirsanagandla Bo,,postoffice,7,16.72927,78.7468,188425
777,PO_777,T.Gowraram Bo -508258,508258,postoffice,7,16.61039,78.81124,277913
778,PO_778,Dubbaka,,postoffice,7,17.3178,79.12961,176816
779,PO_779,Tadoor -509376,509376,postoffice,7,16.47203,78.65197,281330
780,PO_780,Duppelli -508111,508111,postoffice,7,17.36757,79.18186,202176
781,PO_781,Tadoor -509376,509376,postoffice,7,16.47203,78.65197,281384
782,PO_782,Thandra -509324,509324,postoffice,7,16.68759,78.52232,250366
783,PO_783,Thotapally -509320,509320,postoffice,7,16.62593,78.39388,253160
784,PO_784,Thotapally -509320,509320,postoffice,7,16.6261,78.39387,261825
785,PO_785,Goparajupalli,,postoffice,7,17.36552,79.16957,180429
786,PO_786,Tippareddypalli,,postoffice,7,16.57786,78.67194,173972
787,PO_787,Towklapur Bo -508258,508258,postoffice,7,16.62965,78.72072,265345
788,PO_788,Turnikal -50320,,postoffice,7,16.62844,78.45637,254942
789,PO_789,Turpupally Bo -508248,508248,postoffice,7,16.69104,78.81977,269219
790,PO_790,Vangoor -509349,509349,postoffice,7,16.60835,78.62619,169455
791,PO_791,Vangoor -509349,509349,postoffice,7,16.60843,78.62612,168242
792,PO_792,Iskilla -508113,508113,postoffice,7,17.29549,79.16584,185342
793,PO_793,Vavilkol Bo -508258,508258,postoffice,7,16.67117,78.754,269197
794,PO_794,Veeraboinapally Bo -508258,508258,postoffice,7,16.63884,78.69028,265458
795,PO_795,Veldanda -509360,509360,postoffice,7,16.74112,78.53872,174731
796,PO_796,Veldanda -509360,509360,postoffice,7,16.74111,78.5382,277768
797,PO_797,Kakkireni -508113,508113,postoffice,7,17.30391,79.20372,176249
798,PO_798,Veltoor -509376,509376,postoffice,7,16.50558,78.66781,280570
799,PO_799,Veltoor -509376,509376,postoffice,7,16.50579,78.66786,280443
