sr,stop_id,stop_name,stop_desc,source,rank,stop_lat,stop_lon
115,src5_2778,ag office / birla mandir,,src5,3,17.40595,78.46717
116,src5_2779,ag office / birla mandir,,src5,3,17.40616,78.46743
117,8095,agapally,agapally towards nsagar,gps-logs-ghz,2,17.135,78.67171
118,1308,agarmiya guda x road,,shakti-gtfs,5,17.13817,78.51517
119,702,agebr,,shakti-gtfs,5,17.3761,78.39235
120,src5_1635,aghapalli,aghapalli,src5,3,17.1346,78.6715
121,src5_2711,aghapura,"goshamahal road, darus salam, aghapura, nampally, hyderabad",src5,3,17.383,78.46556
122,src5_2712,aghapura,"new aghapura x road, habeeb nagar main road, darus salam, hyderabad",src5,3,17.38234,78.46372
123,src5_2713,aghapura,"zab lane, sitarampet, mangalhat, hyderabad",src5,3,17.38231,78.46372
124,src5_2714,aghapura,,src5,3,17.38301,78.46592
125,src5_2717,aghapura,"mallepally road, darus salam, asif nagar, hyderabad",src5,3,17.38248,78.46102
126,src5_385,agriculture research institute,,src5,3,17.32137,78.39953
127,src5_387,agriculture research institute,,src5,3,17.32122,78.39962
128,src5_1829,ahmedha guda,,src5,3,17.4985,78.61168
129,src5_1830,ahmedha guda,,src5,3,17.49833,78.61118
130,src5_2408,ahmedia,"syed nagar, banjara hills, hyderabad",src5,3,17.40366,78.44096
131,src5_1253,airforce,"maa santoshi colony, bolarum, secunderabad",src5,3,17.53803,78.519
132,1800,airport,airport  towards,gps-logs-ghz|kodali-stops,2,17.24164,78.42974
133,1786|1826,airport,,gps-logs-ghz|kodali-stops,2,17.25164,78.42977
134,node/5471994926,airport,,osm,4,17.40268,78.45799
135,src5_3177,airport backside,,src5,3,17.45185,78.48597
136,1701,airport gate,airport gate,gps-logs-ghz|kodali-stops,2,17.24907,78.47456
137,1702,airport gate,airport gate,gps-logs-ghz|kodali-stops,2,17.2495,78.47445
138,1261,airport pushpak,airport pushpak,gps-logs-ghz|kodali-stops,2,17.23674,78.42875
139,1263,airport pushpak,airport pushpak towards gachibowli pushpak,gps-logs-ghz|kodali-stops,2,17.23694,78.43047
140,1196,akanpally,,shakti-gtfs,5,17.09592,78.38857
141,src5_3221,akbar bagh,,src5,3,17.36715,78.5052
142,src5_3222,akbar bagh,"akbarbagh, new malakpet, hyderabad",src5,3,17.36735,78.50512
143,58,akber x road,,shakti-gtfs,5,17.46229,78.49095
144,1382,akkiramguda,,shakti-gtfs,5,17.18143,78.28596
145,1602,akulamailaram,,shakti-gtfs,5,17.06614,78.57066
146,2325,al nagar,,shakti-gtfs,5,17.31733,78.6579
147,1286,alagadda baavi,alagadda baavi towards secunderabad,gps-logs-ghz|kodali-stops,2,17.43519,78.51428
148,1287,alagadda baavi,alagadda baavi towards mettuguda,gps-logs-ghz|kodali-stops,2,17.43552,78.51428
149,src5_3432,alagadda baavi north,"krishna deva raya road, north lalaguda, lalaguda, mettuguda, secunderabad",src5,3,17.43548,78.51419
150,src5_1465,alakapuri colony uppal,"road number 13, alkapuri colony, ramakrishnapuram, lb nagar, hyderabad",src5,3,17.36503,78.55665
151,1428,alexandria park,,shakti-gtfs,5,17.66547,78.60939
152,1700,ali cafe,ali cafe,gps-logs-ghz|kodali-stops,2,17.38191,78.51842
153,1703,ali cafe,ali cafe towards,gps-logs-ghz|kodali-stops,2,17.3823,78.51813
